location,airport_dist_any,airport_dist_large
Argentina-Buenos_Aires,0.0031828711961701074,0.07151369279617309
Argentina-CABA,0.0031828711961701074,0.07151369279617309
Argentina-Cordoba,0.009601558870097972,43.526914870470144
Argentina-Entre_Rios,0.000658296402369783,13.126461001602333
Argentina-Santa_Fe,0.023427707936839844,14.983910479936858
Argentina-Chaco,0.0015895653928104342,54.94350828139282
Argentina-Corrientes,0.005249597509619879,54.150284921109645
Argentina-Formosa,0.0034903325938502785,74.71426317979392
Argentina-Misiones,0.002265017248009679,49.44839945924803
Argentina-Catamarca,0.01604701520580907,92.82215828020574
Argentina-Jujuy,0.08522736812509132,158.94096785352517
Argentina-Salta,0.009401376349371224,148.2325426455493
Argentina-Sgo_Del_Estero,0.0024019432237602206,82.35438683042378
Argentina-Tucuman,0.01374685996512871,108.86328024376513
Argentina-La_Rioja,0.004644499206848497,98.48239166320678
Argentina-San_Luis,0.0011582054977299077,63.178568296897666
Argentina-Mendoza,0.00609341985564839,110.02748783425551
Argentina-San_Juan,0.015831215689567867,110.8555516932895
Argentina-Chubut,0.03192183441640151,115.00199565561627
Argentina-La_Pampa,0.0007786937601000249,36.25257340936005
Argentina-Rio_Negro,0.0025460527927700415,56.21553079159272
Argentina-Santa_Cruz,0.004989478666501118,397.4213011602661
Argentina-Neuquen,0.009379582272000926,107.74536860787197
Argentina-Tierra_del_Fuego,0.00220935911724951,495.1452462227172
Brazil-Alagoas,0.9836387819638881,13.5531117029639
Brazil-Bahia,3.380261850263834,11.464795915063839
Brazil-Ceara,3.5870055598661037,15.632744690466145
Brazil-Maranhao,5.101735088692849,23.080505119092834
Brazil-Paraiba,0.7858106359790596,4.143365699579071
Brazil-Pernambuco,1.8366958431682856,11.766815574968303
Brazil-Piaui,7.075622456304979,46.30544882850482
Brazil-Rio_Grande_do_Norte,0.20824472819708678,2.6239532605970997
Brazil-Sergipe,0.26766345681916964,6.35480376501917
Brazil-Espirito_Santo,1.1552386423231678,13.599625509923195
Brazil-Minas_Gerais,1.6019166982326392,1.6019166982326392
Brazil-Rio_de_Janeiro,0.00010788401314007628,0.014629684413139558
Brazil-Sao_Paulo,0.001745903824370169,0.006319687824370244
Brazil-Acre,0.7556479120750509,126.78487315667516
Brazil-Amapa,1.590868239948501,17.64234893794853
Brazil-Amazonas,1.282715586916433,134.6552165943166
Brazil-Para,0.19860617862544983,42.04537574602544
Brazil-Rondonia,3.422959038023807,264.34160549302385
Brazil-Roraima,1.9302526446884474,149.58965319228867
