location,location_type,country,province,county,city
Colombia-Antioquia-Don_Matias,city,Colombia,Antioquia,Don Matias,Don Matias
Colombia-Antioquia-Ebejico,city,Colombia,Antioquia,Ebejico,Ebejico
Colombia-Antioquia-El_Bagre,city,Colombia,Antioquia,El Bagre,El Bagre
Colombia-Antioquia-Entrerrios,city,Colombia,Antioquia,Entrerrios,Entrerrios
Colombia-Antioquia-Envigado,city,Colombia,Antioquia,Envigado,Envigado
Colombia-Antioquia-Fredonia,city,Colombia,Antioquia,Fredonia,Fredonia
Colombia-Antioquia-Frontino,city,Colombia,Antioquia,Frontino,Frontino
Colombia-Antioquia-Giraldo,city,Colombia,Antioquia,Giraldo,Giraldo
Colombia-Antioquia-Girardota,city,Colombia,Antioquia,Girardota,Girardota
Colombia-Antioquia-Gomez_Plata,city,Colombia,Antioquia,Gomez Plata,Gomez Plata
Colombia-Antioquia-Granada,city,Colombia,Antioquia,Granada,Granada
Colombia-Antioquia-Guadalupe,city,Colombia,Antioquia,Guadalupe,Guadalupe
Colombia-Antioquia-Guarne,city,Colombia,Antioquia,Guarne,Guarne
Colombia-Antioquia-Guatape,city,Colombia,Antioquia,Guatape,Guatape
Colombia-Antioquia-Heliconia,city,Colombia,Antioquia,Heliconia,Heliconia
Colombia-Antioquia-Hispania,city,Colombia,Antioquia,Hispania,Hispania
Colombia-Antioquia-Itagui,city,Colombia,Antioquia,Itagui,Itagui
Colombia-Antioquia-Ituango,city,Colombia,Antioquia,Ituango,Ituango
Colombia-Antioquia-Jardin,city,Colombia,Antioquia,Jardin,Jardin
Colombia-Antioquia-Jerico,city,Colombia,Antioquia,Jerico,Jerico
Colombia-Antioquia-La_Ceja,city,Colombia,Antioquia,La Ceja,La Ceja
Colombia-Antioquia-La_Estrella,city,Colombia,Antioquia,La Estrella,La Estrella
Colombia-Antioquia-La_Pintada,city,Colombia,Antioquia,La Pintada,La Pintada
Colombia-Antioquia-La_Union,city,Colombia,Antioquia,La Union,La Union
Colombia-Antioquia-Liborina,city,Colombia,Antioquia,Liborina,Liborina
Colombia-Antioquia-Maceo,city,Colombia,Antioquia,Maceo,Maceo
Colombia-Antioquia-Marinilla,city,Colombia,Antioquia,Marinilla,Marinilla
Colombia-Antioquia-Montebello,city,Colombia,Antioquia,Montebello,Montebello
Colombia-Antioquia-Murindo,city,Colombia,Antioquia,Murindo,Murindo
Colombia-Antioquia-Mutata,city,Colombia,Antioquia,Mutata,Mutata
Colombia-Antioquia-Narino,city,Colombia,Antioquia,Narino,Narino
Colombia-Antioquia-Necocli,city,Colombia,Antioquia,Necocli,Necocli
Colombia-Antioquia-Nechi,city,Colombia,Antioquia,Nechi,Nechi
Colombia-Antioquia-Olaya,city,Colombia,Antioquia,Olaya,Olaya
Colombia-Antioquia-Peque,city,Colombia,Antioquia,Peque,Peque
Colombia-Antioquia-Pueblorrico,city,Colombia,Antioquia,Pueblorrico,Pueblorrico
Colombia-Antioquia-Puerto_Berrio,city,Colombia,Antioquia,Puerto Berrio,Puerto Berrio
Colombia-Antioquia-Puerto_Nare,city,Colombia,Antioquia,Puerto Nare,Puerto Nare
Colombia-Antioquia-Puerto_Triunfo,city,Colombia,Antioquia,Puerto Triunfo,Puerto Triunfo
Colombia-Antioquia-Remedios,city,Colombia,Antioquia,Remedios,Remedios
Colombia-Antioquia-Retiro,city,Colombia,Antioquia,Retiro,Retiro
Colombia-Antioquia-Rionegro,city,Colombia,Antioquia,Rionegro,Rionegro
Colombia-Antioquia-Sabanalarga,city,Colombia,Antioquia,Sabanalarga,Sabanalarga
Colombia-Antioquia-Sabaneta,city,Colombia,Antioquia,Sabaneta,Sabaneta
Colombia-Antioquia-Salgar,city,Colombia,Antioquia,Salgar,Salgar
Colombia-Antioquia-San_Andres_De_Cuerquia,city,Colombia,Antioquia,San Andres De Cuerquia,San Andres De Cuerquia
Colombia-Antioquia-San_Carlos,city,Colombia,Antioquia,San Carlos,San Carlos
Colombia-Antioquia-San_Francisco,city,Colombia,Antioquia,San Francisco,San Francisco
Colombia-Antioquia-San_Jeronimo,city,Colombia,Antioquia,San Jeronimo,San Jeronimo
Colombia-Antioquia-San_Jose_De_La_Montana,city,Colombia,Antioquia,San Jose De La Montana,San Jose De La Montana
Colombia-Antioquia-San_Juan_De_Uraba,city,Colombia,Antioquia,San Juan De Uraba,San Juan De Uraba
