location,location_type,country,province,county,city
Colombia-Boyaca-Sogamoso,city,Colombia,Boyaca,Sogamoso,Sogamoso
Colombia-Boyaca-Somondoco,city,Colombia,Boyaca,Somondoco,Somondoco
Colombia-Boyaca-Sora,city,Colombia,Boyaca,Sora,Sora
Colombia-Boyaca-Sotaquira,city,Colombia,Boyaca,Sotaquira,Sotaquira
Colombia-Boyaca-Soraca,city,Colombia,Boyaca,Soraca,Soraca
Colombia-Boyaca-Susacon,city,Colombia,Boyaca,Susacon,Susacon
Colombia-Boyaca-Sutamarchan,city,Colombia,Boyaca,Sutamarchan,Sutamarchan
Colombia-Boyaca-Sutatenza,city,Colombia,Boyaca,Sutatenza,Sutatenza
Colombia-Boyaca-Tasco,city,Colombia,Boyaca,Tasco,Tasco
Colombia-Boyaca-Tenza,city,Colombia,Boyaca,Tenza,Tenza
Colombia-Boyaca-Tibana,city,Colombia,Boyaca,Tibana,Tibana
Colombia-Boyaca-Tibasosa,city,Colombia,Boyaca,Tibasosa,Tibasosa
Colombia-Boyaca-Tinjaca,city,Colombia,Boyaca,Tinjaca,Tinjaca
Colombia-Boyaca-Tipacoque,city,Colombia,Boyaca,Tipacoque,Tipacoque
Colombia-Boyaca-Toca,city,Colombia,Boyaca,Toca,Toca
Colombia-Boyaca-Togui,city,Colombia,Boyaca,Togui,Togui
Colombia-Boyaca-Topaga,city,Colombia,Boyaca,Topaga,Topaga
Colombia-Boyaca-Tota,city,Colombia,Boyaca,Tota,Tota
Colombia-Boyaca-Tunungua,city,Colombia,Boyaca,Tunungua,Tunungua
Colombia-Boyaca-Turmeque,city,Colombia,Boyaca,Turmeque,Turmeque
Colombia-Boyaca-Tuta,city,Colombia,Boyaca,Tuta,Tuta
Colombia-Boyaca-Tutaza,city,Colombia,Boyaca,Tutaza,Tutaza
Colombia-Boyaca-Umbita,city,Colombia,Boyaca,Umbita,Umbita
Colombia-Boyaca-Ventaquemada,city,Colombia,Boyaca,Ventaquemada,Ventaquemada
Colombia-Boyaca-Viracacha,city,Colombia,Boyaca,Viracacha,Viracacha
Colombia-Boyaca-Zetaquira,city,Colombia,Boyaca,Zetaquira,Zetaquira
Colombia-Caldas-Manizales,city,Colombia,Caldas,Manizales,Manizales
Colombia-Caldas-Aguadas,city,Colombia,Caldas,Aguadas,Aguadas
Colombia-Caldas-Anserma,city,Colombia,Caldas,Anserma,Anserma
Colombia-Caldas-Aranzazu,city,Colombia,Caldas,Aranzazu,Aranzazu
Colombia-Caldas-Belalcazar,city,Colombia,Caldas,Belalcazar,Belalcazar
Colombia-Caldas-Chinchina,city,Colombia,Caldas,Chinchina,Chinchina
Colombia-Caldas-Filadelfia,city,Colombia,Caldas,Filadelfia,Filadelfia
Colombia-Caldas-La_Dorada,city,Colombia,Caldas,La Dorada,La Dorada
Colombia-Caldas-La_Merced,city,Colombia,Caldas,La Merced,La Merced
Colombia-Caldas-Manzanares,city,Colombia,Caldas,Manzanares,Manzanares
Colombia-Caldas-Marmato,city,Colombia,Caldas,Marmato,Marmato
Colombia-Caldas-Marquetalia,city,Colombia,Caldas,Marquetalia,Marquetalia
Colombia-Caldas-Marulanda,city,Colombia,Caldas,Marulanda,Marulanda
Colombia-Caldas-Neira,city,Colombia,Caldas,Neira,Neira
Colombia-Caldas-Norcasia,city,Colombia,Caldas,Norcasia,Norcasia
Colombia-Caldas-Pacora,city,Colombia,Caldas,Pacora,Pacora
Colombia-Caldas-Palestina,city,Colombia,Caldas,Palestina,Palestina
Colombia-Caldas-Pensilvania,city,Colombia,Caldas,Pensilvania,Pensilvania
Colombia-Caldas-Riosucio,city,Colombia,Caldas,Riosucio,Riosucio
Colombia-Caldas-Risaralda,city,Colombia,Caldas,Risaralda,Risaralda
Colombia-Caldas-Salamina,city,Colombia,Caldas,Salamina,Salamina
Colombia-Caldas-Samana,city,Colombia,Caldas,Samana,Samana
Colombia-Caldas-San_Jose,city,Colombia,Caldas,San Jose,San Jose
Colombia-Caldas-Supia,city,Colombia,Caldas,Supia,Supia
Colombia-Caldas-Victoria,city,Colombia,Caldas,Victoria,Victoria
Colombia-Caldas-Villamaria,city,Colombia,Caldas,Villamaria,Villamaria
Colombia-Caldas-Viterbo,city,Colombia,Caldas,Viterbo,Viterbo
Colombia-Caqueta-Florencia,city,Colombia,Caqueta,Florencia,Florencia
Colombia-Caqueta-Albania,city,Colombia,Caqueta,Albania,Albania
Colombia-Caqueta-Belen_De_Los_Andaquies,city,Colombia,Caqueta,Belen De Los Andaquies,Belen De Los Andaquies
Colombia-Caqueta-Cartagena_Del_Chaira,city,Colombia,Caqueta,Cartagena Del Chaira,Cartagena Del Chaira
Colombia-Caqueta-Curillo,city,Colombia,Caqueta,Curillo,Curillo
Colombia-Caqueta-El_Doncello,city,Colombia,Caqueta,El Doncello,El Doncello
Colombia-Caqueta-El_Paujil,city,Colombia,Caqueta,El Paujil,El Paujil
Colombia-Caqueta-La_Montanita,city,Colombia,Caqueta,La Montanita,La Montanita
Colombia-Caqueta-Milan,city,Colombia,Caqueta,Milan,Milan
Colombia-Caqueta-Morelia,city,Colombia,Caqueta,Morelia,Morelia
Colombia-Caqueta-Puerto_Rico,city,Colombia,Caqueta,Puerto Rico,Puerto Rico
Colombia-Caqueta-San_Jose_Del_Fragua,city,Colombia,Caqueta,San Jose Del Fragua,San Jose Del Fragua
Colombia-Caqueta-San_Vicente_Del_Caguan,city,Colombia,Caqueta,San Vicente Del Caguan,San Vicente Del Caguan
Colombia-Caqueta-Solano,city,Colombia,Caqueta,Solano,Solano
Colombia-Caqueta-Solita,city,Colombia,Caqueta,Solita,Solita
Colombia-Caqueta-Valparaiso,city,Colombia,Caqueta,Valparaiso,Valparaiso
Colombia-Cauca-Popayan,city,Colombia,Cauca,Popayan,Popayan
Colombia-Cauca-Almaguer,city,Colombia,Cauca,Almaguer,Almaguer
Colombia-Cauca-Argelia,city,Colombia,Cauca,Argelia,Argelia
Colombia-Cauca-Balboa,city,Colombia,Cauca,Balboa,Balboa
Colombia-Cauca-Bolivar,city,Colombia,Cauca,Bolivar,Bolivar
Colombia-Cauca-Buenos_Aires,city,Colombia,Cauca,Buenos Aires,Buenos Aires
Colombia-Cauca-Cajibio,city,Colombia,Cauca,Cajibio,Cajibio
Colombia-Cauca-Caldono,city,Colombia,Cauca,Caldono,Caldono
Colombia-Cauca-Caloto,city,Colombia,Cauca,Caloto,Caloto
Colombia-Cauca-Corinto,city,Colombia,Cauca,Corinto,Corinto
Colombia-Cauca-El_Tambo,city,Colombia,Cauca,El Tambo,El Tambo
Colombia-Cauca-Florencia,city,Colombia,Cauca,Florencia,Florencia
Colombia-Cauca-Guachene,city,Colombia,Cauca,Guachene,Guachene
Colombia-Cauca-Guapi,city,Colombia,Cauca,Guapi,Guapi
Colombia-Cauca-Inza,city,Colombia,Cauca,Inza,Inza
Colombia-Cauca-Jambalo,city,Colombia,Cauca,Jambalo,Jambalo
Colombia-Cauca-La_Sierra,city,Colombia,Cauca,La Sierra,La Sierra
Colombia-Cauca-La_Vega,city,Colombia,Cauca,La Vega,La Vega
Colombia-Cauca-Lopez,city,Colombia,Cauca,Lopez,Lopez
Colombia-Cauca-Mercaderes,city,Colombia,Cauca,Mercaderes,Mercaderes
Colombia-Cauca-Miranda,city,Colombia,Cauca,Miranda,Miranda
Colombia-Cauca-Morales,city,Colombia,Cauca,Morales,Morales
Colombia-Cauca-Padilla,city,Colombia,Cauca,Padilla,Padilla
Colombia-Cauca-Paez,city,Colombia,Cauca,Paez,Paez
Colombia-Cauca-Patia,city,Colombia,Cauca,Patia,Patia
Colombia-Cauca-Piamonte,city,Colombia,Cauca,Piamonte,Piamonte
Colombia-Cauca-Piendamo,city,Colombia,Cauca,Piendamo,Piendamo
Colombia-Cauca-Puerto_Tejada,city,Colombia,Cauca,Puerto Tejada,Puerto Tejada
Colombia-Cauca-Purace,city,Colombia,Cauca,Purace,Purace
Colombia-Cauca-Rosas,city,Colombia,Cauca,Rosas,Rosas
Colombia-Cauca-San_Sebastian,city,Colombia,Cauca,San Sebastian,San Sebastian
Colombia-Cauca-Santander_De_Quilichao,city,Colombia,Cauca,Santander De Quilichao,Santander De Quilichao
Colombia-Cauca-Santa_Rosa,city,Colombia,Cauca,Santa Rosa,Santa Rosa
Colombia-Cauca-Silvia,city,Colombia,Cauca,Silvia,Silvia
Colombia-Cauca-Sotara,city,Colombia,Cauca,Sotara,Sotara
Colombia-Cauca-Suarez,city,Colombia,Cauca,Suarez,Suarez
Colombia-Cauca-Sucre,city,Colombia,Cauca,Sucre,Sucre
Colombia-Cauca-Timbio,city,Colombia,Cauca,Timbio,Timbio
Colombia-Cauca-Timbiqui,city,Colombia,Cauca,Timbiqui,Timbiqui
Colombia-Cauca-Toribio,city,Colombia,Cauca,Toribio,Toribio
Colombia-Cauca-Totoro,city,Colombia,Cauca,Totoro,Totoro
Colombia-Cauca-Villa_Rica,city,Colombia,Cauca,Villa Rica,Villa Rica
Colombia-Cesar-Valledupar,city,Colombia,Cesar,Valledupar,Valledupar
Colombia-Cesar-Aguachica,city,Colombia,Cesar,Aguachica,Aguachica
Colombia-Cesar-Agustin_Codazzi,city,Colombia,Cesar,Agustin Codazzi,Agustin Codazzi
Colombia-Cesar-Astrea,city,Colombia,Cesar,Astrea,Astrea
Colombia-Cesar-Becerril,city,Colombia,Cesar,Becerril,Becerril
Colombia-Cesar-Bosconia,city,Colombia,Cesar,Bosconia,Bosconia
Colombia-Cesar-Chimichagua,city,Colombia,Cesar,Chimichagua,Chimichagua
Colombia-Cesar-Chiriguana,city,Colombia,Cesar,Chiriguana,Chiriguana
Colombia-Cesar-Curumani,city,Colombia,Cesar,Curumani,Curumani
Colombia-Cesar-El_Copey,city,Colombia,Cesar,El Copey,El Copey
Colombia-Cesar-El_Paso,city,Colombia,Cesar,El Paso,El Paso
Colombia-Cesar-Gamarra,city,Colombia,Cesar,Gamarra,Gamarra
Colombia-Cesar-Gonzalez,city,Colombia,Cesar,Gonzalez,Gonzalez
Colombia-Cesar-La_Gloria,city,Colombia,Cesar,La Gloria,La Gloria
Colombia-Cesar-La_Jagua_De_Ibirico,city,Colombia,Cesar,La Jagua De Ibirico,La Jagua De Ibirico
Colombia-Cesar-Manaure,city,Colombia,Cesar,Manaure,Manaure
Colombia-Cesar-Pailitas,city,Colombia,Cesar,Pailitas,Pailitas
Colombia-Cesar-Pelaya,city,Colombia,Cesar,Pelaya,Pelaya
Colombia-Cesar-Pueblo_Bello,city,Colombia,Cesar,Pueblo Bello,Pueblo Bello
Colombia-Cesar-Rio_De_Oro,city,Colombia,Cesar,Rio De Oro,Rio De Oro
Colombia-Cesar-La_Paz,city,Colombia,Cesar,La Paz,La Paz
Colombia-Cesar-San_Alberto,city,Colombia,Cesar,San Alberto,San Alberto
Colombia-Cesar-San_Diego,city,Colombia,Cesar,San Diego,San Diego
Colombia-Cesar-San_Martin,city,Colombia,Cesar,San Martin,San Martin
Colombia-Cesar-Tamalameque,city,Colombia,Cesar,Tamalameque,Tamalameque
Colombia-Cordoba-Monteria,city,Colombia,Cordoba,Monteria,Monteria
Colombia-Cordoba-Ayapel,city,Colombia,Cordoba,Ayapel,Ayapel
Colombia-Cordoba-Buenavista,city,Colombia,Cordoba,Buenavista,Buenavista
Colombia-Cordoba-Canalete,city,Colombia,Cordoba,Canalete,Canalete
Colombia-Cordoba-Cerete,city,Colombia,Cordoba,Cerete,Cerete
Colombia-Cordoba-Chima,city,Colombia,Cordoba,Chima,Chima
Colombia-Cordoba-Chinu,city,Colombia,Cordoba,Chinu,Chinu
Colombia-Cordoba-Cienaga_De_Oro,city,Colombia,Cordoba,Cienaga De Oro,Cienaga De Oro
Colombia-Cordoba-Cotorra,city,Colombia,Cordoba,Cotorra,Cotorra
Colombia-Cordoba-La_Apartada,city,Colombia,Cordoba,La Apartada,La Apartada
Colombia-Cordoba-Lorica,city,Colombia,Cordoba,Lorica,Lorica
Colombia-Cordoba-Los_Cordobas,city,Colombia,Cordoba,Los Cordobas,Los Cordobas
Colombia-Cordoba-Momil,city,Colombia,Cordoba,Momil,Momil
Colombia-Cordoba-Montelibano,city,Colombia,Cordoba,Montelibano,Montelibano
Colombia-Cordoba-Monitos,city,Colombia,Cordoba,Monitos,Monitos
Colombia-Cordoba-Planeta_Rica,city,Colombia,Cordoba,Planeta Rica,Planeta Rica
Colombia-Cordoba-Pueblo_Nuevo,city,Colombia,Cordoba,Pueblo Nuevo,Pueblo Nuevo
Colombia-Cordoba-Puerto_Escondido,city,Colombia,Cordoba,Puerto Escondido,Puerto Escondido
Colombia-Cordoba-Puerto_Libertador,city,Colombia,Cordoba,Puerto Libertador,Puerto Libertador
Colombia-Cordoba-Purisima,city,Colombia,Cordoba,Purisima,Purisima
Colombia-Cordoba-Sahagun,city,Colombia,Cordoba,Sahagun,Sahagun
Colombia-Cordoba-San_Andres_Sotavento,city,Colombia,Cordoba,San Andres Sotavento,San Andres Sotavento
Colombia-Cordoba-San_Antero,city,Colombia,Cordoba,San Antero,San Antero
Colombia-Cordoba-San_Bernardo_Del_Viento,city,Colombia,Cordoba,San Bernardo Del Viento,San Bernardo Del Viento
Colombia-Cordoba-San_Carlos,city,Colombia,Cordoba,San Carlos,San Carlos
Colombia-Cordoba-San_Jose_De_Ure,city,Colombia,Cordoba,San Jose De Ure,San Jose De Ure
Colombia-Cordoba-San_Pelayo,city,Colombia,Cordoba,San Pelayo,San Pelayo
Colombia-Cordoba-Tierralta,city,Colombia,Cordoba,Tierralta,Tierralta
Colombia-Cordoba-Tuchin,city,Colombia,Cordoba,Tuchin,Tuchin
Colombia-Cordoba-Valencia,city,Colombia,Cordoba,Valencia,Valencia
Colombia-Cundinamarca-Agua_De_Dios,city,Colombia,Cundinamarca,Agua De Dios,Agua De Dios
Colombia-Cundinamarca-Alban,city,Colombia,Cundinamarca,Alban,Alban
Colombia-Cundinamarca-Anapoima,city,Colombia,Cundinamarca,Anapoima,Anapoima
Colombia-Cundinamarca-Anolaima,city,Colombia,Cundinamarca,Anolaima,Anolaima
Colombia-Cundinamarca-Arbelaez,city,Colombia,Cundinamarca,Arbelaez,Arbelaez
Colombia-Cundinamarca-Beltran,city,Colombia,Cundinamarca,Beltran,Beltran
Colombia-Cundinamarca-Bituima,city,Colombia,Cundinamarca,Bituima,Bituima
Colombia-Cundinamarca-Bojaca,city,Colombia,Cundinamarca,Bojaca,Bojaca
Colombia-Cundinamarca-Cabrera,city,Colombia,Cundinamarca,Cabrera,Cabrera
Colombia-Cundinamarca-Cachipay,city,Colombia,Cundinamarca,Cachipay,Cachipay
Colombia-Cundinamarca-Cajica,city,Colombia,Cundinamarca,Cajica,Cajica
Colombia-Cundinamarca-Caparrapi,city,Colombia,Cundinamarca,Caparrapi,Caparrapi
Colombia-Cundinamarca-Caqueza,city,Colombia,Cundinamarca,Caqueza,Caqueza
Colombia-Cundinamarca-Carmen_De_Carupa,city,Colombia,Cundinamarca,Carmen De Carupa,Carmen De Carupa
Colombia-Cundinamarca-Chaguani,city,Colombia,Cundinamarca,Chaguani,Chaguani
Colombia-Cundinamarca-Chia,city,Colombia,Cundinamarca,Chia,Chia
Colombia-Cundinamarca-Chipaque,city,Colombia,Cundinamarca,Chipaque,Chipaque
Colombia-Cundinamarca-Choachi,city,Colombia,Cundinamarca,Choachi,Choachi
Colombia-Cundinamarca-Choconta,city,Colombia,Cundinamarca,Choconta,Choconta
Colombia-Cundinamarca-Cogua,city,Colombia,Cundinamarca,Cogua,Cogua
Colombia-Cundinamarca-Cota,city,Colombia,Cundinamarca,Cota,Cota
Colombia-Cundinamarca-Cucunuba,city,Colombia,Cundinamarca,Cucunuba,Cucunuba
Colombia-Cundinamarca-El_Colegio,city,Colombia,Cundinamarca,El Colegio,El Colegio
Colombia-Cundinamarca-El_Penon,city,Colombia,Cundinamarca,El Penon,El Penon
Colombia-Cundinamarca-El_Rosal,city,Colombia,Cundinamarca,El Rosal,El Rosal
Colombia-Cundinamarca-Facatativa,city,Colombia,Cundinamarca,Facatativa,Facatativa
Colombia-Cundinamarca-Fomeque,city,Colombia,Cundinamarca,Fomeque,Fomeque
Colombia-Cundinamarca-Fosca,city,Colombia,Cundinamarca,Fosca,Fosca
Colombia-Cundinamarca-Funza,city,Colombia,Cundinamarca,Funza,Funza
Colombia-Cundinamarca-Fuquene,city,Colombia,Cundinamarca,Fuquene,Fuquene
Colombia-Cundinamarca-Fusagasuga,city,Colombia,Cundinamarca,Fusagasuga,Fusagasuga
Colombia-Cundinamarca-Gachala,city,Colombia,Cundinamarca,Gachala,Gachala
Colombia-Cundinamarca-Gachancipa,city,Colombia,Cundinamarca,Gachancipa,Gachancipa
Colombia-Cundinamarca-Gacheta,city,Colombia,Cundinamarca,Gacheta,Gacheta
Colombia-Cundinamarca-Gama,city,Colombia,Cundinamarca,Gama,Gama
Colombia-Cundinamarca-Girardot,city,Colombia,Cundinamarca,Girardot,Girardot
Colombia-Cundinamarca-Granada,city,Colombia,Cundinamarca,Granada,Granada
Colombia-Cundinamarca-Guacheta,city,Colombia,Cundinamarca,Guacheta,Guacheta
Colombia-Cundinamarca-Guaduas,city,Colombia,Cundinamarca,Guaduas,Guaduas
Colombia-Cundinamarca-Guasca,city,Colombia,Cundinamarca,Guasca,Guasca
Colombia-Cundinamarca-Guataqui,city,Colombia,Cundinamarca,Guataqui,Guataqui
Colombia-Cundinamarca-Guatavita,city,Colombia,Cundinamarca,Guatavita,Guatavita
Colombia-Cundinamarca-Guayabal_De_Siquima,city,Colombia,Cundinamarca,Guayabal De Siquima,Guayabal De Siquima
Colombia-Cundinamarca-Guayabetal,city,Colombia,Cundinamarca,Guayabetal,Guayabetal
Colombia-Cundinamarca-Gutierrez,city,Colombia,Cundinamarca,Gutierrez,Gutierrez
Colombia-Cundinamarca-Jerusalen,city,Colombia,Cundinamarca,Jerusalen,Jerusalen
Colombia-Cundinamarca-Junin,city,Colombia,Cundinamarca,Junin,Junin
Colombia-Cundinamarca-La_Calera,city,Colombia,Cundinamarca,La Calera,La Calera
Colombia-Cundinamarca-La_Mesa,city,Colombia,Cundinamarca,La Mesa,La Mesa
Colombia-Cundinamarca-La_Palma,city,Colombia,Cundinamarca,La Palma,La Palma
Colombia-Cundinamarca-La_Pena,city,Colombia,Cundinamarca,La Pena,La Pena
Colombia-Cundinamarca-La_Vega,city,Colombia,Cundinamarca,La Vega,La Vega
Colombia-Cundinamarca-Lenguazaque,city,Colombia,Cundinamarca,Lenguazaque,Lenguazaque
Colombia-Cundinamarca-Macheta,city,Colombia,Cundinamarca,Macheta,Macheta
Colombia-Cundinamarca-Madrid,city,Colombia,Cundinamarca,Madrid,Madrid
Colombia-Cundinamarca-Manta,city,Colombia,Cundinamarca,Manta,Manta
Colombia-Cundinamarca-Medina,city,Colombia,Cundinamarca,Medina,Medina
Colombia-Cundinamarca-Mosquera,city,Colombia,Cundinamarca,Mosquera,Mosquera
Colombia-Cundinamarca-Narino,city,Colombia,Cundinamarca,Narino,Narino
Colombia-Cundinamarca-Nemocon,city,Colombia,Cundinamarca,Nemocon,Nemocon
Colombia-Cundinamarca-Nilo,city,Colombia,Cundinamarca,Nilo,Nilo
Colombia-Cundinamarca-Nimaima,city,Colombia,Cundinamarca,Nimaima,Nimaima
Colombia-Cundinamarca-Nocaima,city,Colombia,Cundinamarca,Nocaima,Nocaima
Colombia-Cundinamarca-Venecia,city,Colombia,Cundinamarca,Venecia,Venecia
Colombia-Cundinamarca-Pacho,city,Colombia,Cundinamarca,Pacho,Pacho
Colombia-Cundinamarca-Paime,city,Colombia,Cundinamarca,Paime,Paime
Colombia-Cundinamarca-Pandi,city,Colombia,Cundinamarca,Pandi,Pandi
Colombia-Cundinamarca-Paratebueno,city,Colombia,Cundinamarca,Paratebueno,Paratebueno
Colombia-Cundinamarca-Pasca,city,Colombia,Cundinamarca,Pasca,Pasca
Colombia-Cundinamarca-Puerto_Salgar,city,Colombia,Cundinamarca,Puerto Salgar,Puerto Salgar
Colombia-Cundinamarca-Puli,city,Colombia,Cundinamarca,Puli,Puli
Colombia-Cundinamarca-Quebradanegra,city,Colombia,Cundinamarca,Quebradanegra,Quebradanegra
Colombia-Cundinamarca-Quetame,city,Colombia,Cundinamarca,Quetame,Quetame
Colombia-Cundinamarca-Quipile,city,Colombia,Cundinamarca,Quipile,Quipile
Colombia-Cundinamarca-Apulo,city,Colombia,Cundinamarca,Apulo,Apulo
Colombia-Cundinamarca-Rafael_Reyes_Apulo,city,Colombia,Cundinamarca,Rafael Reyes Apulo,Rafael Reyes Apulo
Colombia-Cundinamarca-Ricaurte,city,Colombia,Cundinamarca,Ricaurte,Ricaurte
Colombia-Cundinamarca-San_Antonio_Del_Tequendama,city,Colombia,Cundinamarca,San Antonio Del Tequendama,San Antonio Del Tequendama
Colombia-Cundinamarca-San_Bernardo,city,Colombia,Cundinamarca,San Bernardo,San Bernardo
Colombia-Cundinamarca-San_Cayetano,city,Colombia,Cundinamarca,San Cayetano,San Cayetano
Colombia-Cundinamarca-San_Francisco,city,Colombia,Cundinamarca,San Francisco,San Francisco
Colombia-Cundinamarca-San_Juan_De_Rio_Seco,city,Colombia,Cundinamarca,San Juan De Rio Seco,San Juan De Rio Seco
Colombia-Cundinamarca-Sasaima,city,Colombia,Cundinamarca,Sasaima,Sasaima
Colombia-Cundinamarca-Sesquile,city,Colombia,Cundinamarca,Sesquile,Sesquile
Colombia-Cundinamarca-Sibate,city,Colombia,Cundinamarca,Sibate,Sibate
Colombia-Cundinamarca-Silvania,city,Colombia,Cundinamarca,Silvania,Silvania
Colombia-Cundinamarca-Simijaca,city,Colombia,Cundinamarca,Simijaca,Simijaca
Colombia-Cundinamarca-Soacha,city,Colombia,Cundinamarca,Soacha,Soacha
Colombia-Cundinamarca-Sopo,city,Colombia,Cundinamarca,Sopo,Sopo
Colombia-Cundinamarca-Subachoque,city,Colombia,Cundinamarca,Subachoque,Subachoque
Colombia-Cundinamarca-Suesca,city,Colombia,Cundinamarca,Suesca,Suesca
Colombia-Cundinamarca-Supata,city,Colombia,Cundinamarca,Supata,Supata
Colombia-Cundinamarca-Susa,city,Colombia,Cundinamarca,Susa,Susa
Colombia-Cundinamarca-Sutatausa,city,Colombia,Cundinamarca,Sutatausa,Sutatausa
Colombia-Cundinamarca-Tabio,city,Colombia,Cundinamarca,Tabio,Tabio
Colombia-Cundinamarca-Tausa,city,Colombia,Cundinamarca,Tausa,Tausa
Colombia-Cundinamarca-Tena,city,Colombia,Cundinamarca,Tena,Tena
Colombia-Cundinamarca-Tenjo,city,Colombia,Cundinamarca,Tenjo,Tenjo
Colombia-Cundinamarca-Tibacuy,city,Colombia,Cundinamarca,Tibacuy,Tibacuy
Colombia-Cundinamarca-Tibirita,city,Colombia,Cundinamarca,Tibirita,Tibirita
Colombia-Cundinamarca-Tocaima,city,Colombia,Cundinamarca,Tocaima,Tocaima
Colombia-Cundinamarca-Tocancipa,city,Colombia,Cundinamarca,Tocancipa,Tocancipa
Colombia-Cundinamarca-Topaipi,city,Colombia,Cundinamarca,Topaipi,Topaipi
Colombia-Cundinamarca-Ubala,city,Colombia,Cundinamarca,Ubala,Ubala
Colombia-Cundinamarca-Ubaque,city,Colombia,Cundinamarca,Ubaque,Ubaque
Colombia-Cundinamarca-Villa_De_San_Diego_De_Ubate,city,Colombia,Cundinamarca,Villa De San Diego De Ubate,Villa De San Diego De Ubate
Colombia-Cundinamarca-Une,city,Colombia,Cundinamarca,Une,Une
Colombia-Cundinamarca-Utica,city,Colombia,Cundinamarca,Utica,Utica
Colombia-Cundinamarca-Vergara,city,Colombia,Cundinamarca,Vergara,Vergara
Colombia-Cundinamarca-Viani,city,Colombia,Cundinamarca,Viani,Viani
Colombia-Cundinamarca-Villagomez,city,Colombia,Cundinamarca,Villagomez,Villagomez
Colombia-Cundinamarca-Villapinzon,city,Colombia,Cundinamarca,Villapinzon,Villapinzon
Colombia-Cundinamarca-Villeta,city,Colombia,Cundinamarca,Villeta,Villeta
Colombia-Cundinamarca-Viota,city,Colombia,Cundinamarca,Viota,Viota
Colombia-Cundinamarca-Yacopi,city,Colombia,Cundinamarca,Yacopi,Yacopi
Colombia-Cundinamarca-Zipacon,city,Colombia,Cundinamarca,Zipacon,Zipacon
Colombia-Cundinamarca-Zipaquira,city,Colombia,Cundinamarca,Zipaquira,Zipaquira
Colombia-Choco-Quibdo,city,Colombia,Choco,Quibdo,Quibdo
Colombia-Choco-Acandi,city,Colombia,Choco,Acandi,Acandi
Colombia-Choco-Alto_Baudo,city,Colombia,Choco,Alto Baudo,Alto Baudo
Colombia-Choco-Atrato,city,Colombia,Choco,Atrato,Atrato
Colombia-Choco-Bagado,city,Colombia,Choco,Bagado,Bagado
Colombia-Choco-Bahia_Solano,city,Colombia,Choco,Bahia Solano,Bahia Solano
Colombia-Choco-Bajo_Baudo,city,Colombia,Choco,Bajo Baudo,Bajo Baudo
Colombia-Choco-Belen_De_Bajira,city,Colombia,Choco,Belen De Bajira,Belen De Bajira
Colombia-Choco-Bojaya,city,Colombia,Choco,Bojaya,Bojaya
Colombia-Choco-El_Canton_Del_San_Pablo,city,Colombia,Choco,El Canton Del San Pablo,El Canton Del San Pablo
Colombia-Choco-Carmen_Del_Darien,city,Colombia,Choco,Carmen Del Darien,Carmen Del Darien
Colombia-Choco-Certegui,city,Colombia,Choco,Certegui,Certegui
Colombia-Choco-Condoto,city,Colombia,Choco,Condoto,Condoto
Colombia-Choco-El_Carmen_De_Atrato,city,Colombia,Choco,El Carmen De Atrato,El Carmen De Atrato
Colombia-Choco-El_Litoral_Del_San_Juan,city,Colombia,Choco,El Litoral Del San Juan,El Litoral Del San Juan
Colombia-Choco-Istmina,city,Colombia,Choco,Istmina,Istmina
Colombia-Choco-Jurado,city,Colombia,Choco,Jurado,Jurado
Colombia-Choco-Lloro,city,Colombia,Choco,Lloro,Lloro
Colombia-Choco-Medio_Atrato,city,Colombia,Choco,Medio Atrato,Medio Atrato
Colombia-Choco-Medio_Baudo,city,Colombia,Choco,Medio Baudo,Medio Baudo
Colombia-Choco-Medio_San_Juan,city,Colombia,Choco,Medio San Juan,Medio San Juan
Colombia-Choco-Novita,city,Colombia,Choco,Novita,Novita
Colombia-Choco-Nuqui,city,Colombia,Choco,Nuqui,Nuqui
Colombia-Choco-Rio_Iro,city,Colombia,Choco,Rio Iro,Rio Iro
Colombia-Choco-Rio_Quito,city,Colombia,Choco,Rio Quito,Rio Quito
Colombia-Choco-Riosucio,city,Colombia,Choco,Riosucio,Riosucio
Colombia-Choco-San_Jose_Del_Palmar,city,Colombia,Choco,San Jose Del Palmar,San Jose Del Palmar
Colombia-Choco-Sipi,city,Colombia,Choco,Sipi,Sipi
Colombia-Choco-Tado,city,Colombia,Choco,Tado,Tado
Colombia-Choco-Unguia,city,Colombia,Choco,Unguia,Unguia
Colombia-Choco-Union_Panamericana,city,Colombia,Choco,Union Panamericana,Union Panamericana
Colombia-Huila-Neiva,city,Colombia,Huila,Neiva,Neiva
Colombia-Huila-Acevedo,city,Colombia,Huila,Acevedo,Acevedo
Colombia-Huila-Agrado,city,Colombia,Huila,Agrado,Agrado
Colombia-Huila-Aipe,city,Colombia,Huila,Aipe,Aipe
Colombia-Huila-Algeciras,city,Colombia,Huila,Algeciras,Algeciras
Colombia-Huila-Altamira,city,Colombia,Huila,Altamira,Altamira
Colombia-Huila-Baraya,city,Colombia,Huila,Baraya,Baraya
Colombia-Huila-Campoalegre,city,Colombia,Huila,Campoalegre,Campoalegre
Colombia-Huila-Colombia,city,Colombia,Huila,Colombia,Colombia
Colombia-Huila-Elias,city,Colombia,Huila,Elias,Elias
Colombia-Huila-Garzon,city,Colombia,Huila,Garzon,Garzon
