location,location_type,country,province,county,city,latitude,longitude
Colombia-Antioquia-Betania,city,Colombia,Antioquia,Betania,Betania,5.746649,-75.977569
Colombia-Antioquia-Betulia,city,Colombia,Antioquia,Betulia,Betulia,6.11278,-75.98467
Colombia-Antioquia-Ciudad_Bolivar,city,Colombia,Antioquia,Ciudad Bolivar,Ciudad Bolivar,5.852475999999999,-76.0218469
Colombia-Antioquia-Briceno,city,Colombia,Antioquia,Briceno,Briceno,5.690024999999999,-73.92287999999999
Colombia-Antioquia-Buritica,city,Colombia,Antioquia,Buritica,Buritica,6.721916999999999,-75.90597600000001
Colombia-Antioquia-Caceres,city,Colombia,Antioquia,Caceres,Caceres,7.579028999999998,-75.34954499999999
Colombia-Antioquia-Caicedo,city,Colombia,Antioquia,Caicedo,Caicedo,6.405354,-75.984309
Colombia-Antioquia-Caldas,city,Colombia,Antioquia,Caldas,Caldas,5.29826,-75.2479061
Colombia-Antioquia-Campamento,city,Colombia,Antioquia,Campamento,Campamento,6.979498,-75.2966019
Colombia-Antioquia-Canasgordas,city,Colombia,Antioquia,Canasgordas,Canasgordas,6.750597,-76.02611
Colombia-Antioquia-Caracoli,city,Colombia,Antioquia,Caracoli,Caracoli,6.408748999999999,-74.7576179
Colombia-Antioquia-Caramanta,city,Colombia,Antioquia,Caramanta,Caramanta,5.548956,-75.64370699999999
Colombia-Antioquia-Carepa,city,Colombia,Antioquia,Carepa,Carepa,7.755354,-76.6554309
Colombia-Antioquia-El_Carmen_De_Viboral,city,Colombia,Antioquia,El Carmen De Viboral,El Carmen De Viboral,6.082178,-75.33738400000001
Colombia-Antioquia-Carolina,city,Colombia,Antioquia,Carolina,Carolina,6.724917,-75.282299
Colombia-Antioquia-Caucasia,city,Colombia,Antioquia,Caucasia,Caucasia,7.979698,-75.1985629
Colombia-Antioquia-Chigorodo,city,Colombia,Antioquia,Chigorodo,Chigorodo,7.665099000000001,-76.67748999999999
Colombia-Antioquia-Cisneros,city,Colombia,Antioquia,Cisneros,Cisneros,6.538376,-75.08706699999999
Colombia-Antioquia-Cocorna,city,Colombia,Antioquia,Cocorna,Cocorna,6.057265,-75.185598
Colombia-Antioquia-Concepcion,city,Colombia,Antioquia,Concepcion,Concepcion,6.394353,-75.256581
Colombia-Antioquia-Concordia,city,Colombia,Antioquia,Concordia,Concordia,6.044979,-75.908354
Colombia-Antioquia-Copacabana,city,Colombia,Antioquia,Copacabana,Copacabana,6.357621,-75.505078
Colombia-Antioquia-Dabeiba,city,Colombia,Antioquia,Dabeiba,Dabeiba,6.997374,-76.256824
Colombia-Antioquia-Don_Matias,city,Colombia,Antioquia,Don Matias,Don Matias,6.485702,-75.39383099999999
Colombia-Antioquia-Ebejico,city,Colombia,Antioquia,Ebejico,Ebejico,6.326906,-75.76734499999999
Colombia-Antioquia-El_Bagre,city,Colombia,Antioquia,El Bagre,El Bagre,7.605682600000001,-74.8062648
Colombia-Antioquia-Entrerrios,city,Colombia,Antioquia,Entrerrios,Entrerrios,6.566146,-75.516908
Colombia-Antioquia-Envigado,city,Colombia,Antioquia,Envigado,Envigado,6.169610899999999,-75.58736360000002
Colombia-Antioquia-Fredonia,city,Colombia,Antioquia,Fredonia,Fredonia,5.927245,-75.671007
Colombia-Antioquia-Frontino,city,Colombia,Antioquia,Frontino,Frontino,6.777958,-76.13291699999999
Colombia-Antioquia-Giraldo,city,Colombia,Antioquia,Giraldo,Giraldo,6.680623,-75.953096
Colombia-Antioquia-Girardota,city,Colombia,Antioquia,Girardota,Girardota,6.378322,-75.449517
Colombia-Antioquia-Gomez_Plata,city,Colombia,Antioquia,Gomez Plata,Gomez Plata,6.683248,-75.221769
Colombia-Antioquia-Granada,city,Colombia,Antioquia,Granada,Granada,3.544831,-73.705281
Colombia-Antioquia-Guadalupe,city,Colombia,Antioquia,Guadalupe,Guadalupe,6.246048999999999,-73.418739
Colombia-Antioquia-Guarne,city,Colombia,Antioquia,Guarne,Guarne,6.279597,-75.442627
Colombia-Antioquia-Guatape,city,Colombia,Antioquia,Guatape,Guatape,6.231136999999999,-75.15346699999999
Colombia-Antioquia-Heliconia,city,Colombia,Antioquia,Heliconia,Heliconia,6.208781,-75.732944
Colombia-Antioquia-Hispania,city,Colombia,Antioquia,Hispania,Hispania,5.799059,-75.90799299999999
Colombia-Antioquia-Itagui,city,Colombia,Antioquia,Itagui,Itagui,6.1675682,-75.6146712
Colombia-Antioquia-Ituango,city,Colombia,Antioquia,Ituango,Ituango,7.172606999999999,-75.76468
Colombia-Antioquia-Jardin,city,Colombia,Antioquia,Jardin,Jardin,5.596767,-75.819361
Colombia-Antioquia-Jerico,city,Colombia,Antioquia,Jerico,Jerico,5.790513,-75.776082
Colombia-Antioquia-La_Ceja,city,Colombia,Antioquia,La Ceja,La Ceja,6.027632,-75.431596
Colombia-Antioquia-La_Estrella,city,Colombia,Antioquia,La Estrella,La Estrella,6.138751,-75.635586
Colombia-Antioquia-La_Pintada,city,Colombia,Antioquia,La Pintada,La Pintada,5.746942,-75.606403
Colombia-Antioquia-La_Union,city,Colombia,Antioquia,La Union,La Union,4.5334899,-76.10361600000002
Colombia-Antioquia-Liborina,city,Colombia,Antioquia,Liborina,Liborina,6.677449999999999,-75.81174399999999
Colombia-Antioquia-Maceo,city,Colombia,Antioquia,Maceo,Maceo,6.551367,-74.787294
Colombia-Antioquia-Marinilla,city,Colombia,Antioquia,Marinilla,Marinilla,6.176966999999999,-75.341462
Colombia-Antioquia-Montebello,city,Colombia,Antioquia,Montebello,Montebello,5.946486999999999,-75.52395
Colombia-Antioquia-Murindo,city,Colombia,Antioquia,Murindo,Murindo,6.981039999999999,-76.82119
Colombia-Antioquia-Mutata,city,Colombia,Antioquia,Mutata,Mutata,7.244105999999999,-76.43656700000001
Colombia-Antioquia-Narino,city,Colombia,Antioquia,Narino,Narino,1.289151,-77.35794000000001
Colombia-Antioquia-Necocli,city,Colombia,Antioquia,Necocli,Necocli,8.427173999999999,-76.787678
Colombia-Antioquia-Nechi,city,Colombia,Antioquia,Nechi,Nechi,8.088419,-74.776327
Colombia-Antioquia-Olaya,city,Colombia,Antioquia,Olaya,Olaya,6.629989999999999,-75.81665
Colombia-Antioquia-Peque,city,Colombia,Antioquia,Peque,Peque,7.021535,-75.908107
Colombia-Antioquia-Pueblorrico,city,Colombia,Antioquia,Pueblorrico,Pueblorrico,5.794161,-75.840589
Colombia-Antioquia-Puerto_Berrio,city,Colombia,Antioquia,Puerto Berrio,Puerto Berrio,6.477754999999999,-74.4088
Colombia-Antioquia-Puerto_Nare,city,Colombia,Antioquia,Puerto Nare,Puerto Nare,6.186497,-74.583726
Colombia-Antioquia-Puerto_Triunfo,city,Colombia,Antioquia,Puerto Triunfo,Puerto Triunfo,5.8807,-74.634036
Colombia-Antioquia-Remedios,city,Colombia,Antioquia,Remedios,Remedios,7.027766,-74.692965
Colombia-Antioquia-Retiro,city,Colombia,Antioquia,Retiro,Retiro,6.060955,-75.50258199999999
Colombia-Antioquia-Rionegro,city,Colombia,Antioquia,Rionegro,Rionegro,6.144837,-75.375085
Colombia-Antioquia-Sabanalarga,city,Colombia,Antioquia,Sabanalarga,Sabanalarga,6.8498854,-75.81741760000001
Colombia-Antioquia-Sabaneta,city,Colombia,Antioquia,Sabaneta,Sabaneta,6.150558999999999,-75.61681999999999
Colombia-Antioquia-Salgar,city,Colombia,Antioquia,Salgar,Salgar,5.963336,-75.963942
Colombia-Antioquia-San_Andres_De_Cuerquia,city,Colombia,Antioquia,San Andres De Cuerquia,San Andres De Cuerquia,6.913245,-75.67555999999999
Colombia-Antioquia-San_Carlos,city,Colombia,Antioquia,San Carlos,San Carlos,6.187979,-74.99322699999999
Colombia-Antioquia-San_Francisco,city,Colombia,Antioquia,San Francisco,San Francisco,4.974252,-74.291386
Colombia-Antioquia-San_Jeronimo,city,Colombia,Antioquia,San Jeronimo,San Jeronimo,6.442513,-75.72815899999999
Colombia-Antioquia-San_Jose_De_La_Montana,city,Colombia,Antioquia,San Jose De La Montana,San Jose De La Montana,6.849736,-75.684091
Colombia-Antioquia-San_Juan_De_Uraba,city,Colombia,Antioquia,San Juan De Uraba,San Juan De Uraba,8.7624549,-76.526738
Colombia-Antioquia-San_Luis,city,Colombia,Antioquia,San Luis,San Luis,6.042453999999999,-74.995071
Colombia-Antioquia-San_Pedro,city,Colombia,Antioquia,San Pedro,San Pedro,3.99411,-76.22711
Colombia-Antioquia-San_Pedro_De_Uraba,city,Colombia,Antioquia,San Pedro De Uraba,San Pedro De Uraba,8.275843,-76.379729
Colombia-Antioquia-San_Rafael,city,Colombia,Antioquia,San Rafael,San Rafael,6.293544,-75.028577
Colombia-Antioquia-San_Roque,city,Colombia,Antioquia,San Roque,San Roque,6.485831,-75.019623
Colombia-Antioquia-San_Vicente,city,Colombia,Antioquia,San Vicente,San Vicente,6.285814999999999,-75.33422
Colombia-Antioquia-Santa_Barbara,city,Colombia,Antioquia,Santa Barbara,Santa Barbara,5.874249,-75.56642099999999
Colombia-Antioquia-Santa_Rosa_De_Osos,city,Colombia,Antioquia,Santa Rosa De Osos,Santa Rosa De Osos,6.648270999999999,-75.46090099999999
Colombia-Antioquia-Santo_Domingo,city,Colombia,Antioquia,Santo Domingo,Santo Domingo,6.471563000000001,-75.16464599999999
Colombia-Antioquia-El_Santuario,city,Colombia,Antioquia,El Santuario,El Santuario,6.139610999999999,-75.26450899999999
Colombia-Antioquia-Segovia,city,Colombia,Antioquia,Segovia,Segovia,7.079604,-74.699095
Colombia-Antioquia-Sonson,city,Colombia,Antioquia,Sonson,Sonson,5.712002,-75.309798
Colombia-Antioquia-Sopetran,city,Colombia,Antioquia,Sopetran,Sopetran,6.501533999999999,-75.743398
Colombia-Antioquia-Tamesis,city,Colombia,Antioquia,Tamesis,Tamesis,5.664999,-75.714701
Colombia-Antioquia-Taraza,city,Colombia,Antioquia,Taraza,Taraza,7.583190999999999,-75.39996599999999
Colombia-Antioquia-Tarso,city,Colombia,Antioquia,Tarso,Tarso,5.864924999999999,-75.82240300000001
Colombia-Antioquia-Titiribi,city,Colombia,Antioquia,Titiribi,Titiribi,6.06259,-75.79341
Colombia-Antioquia-Toledo,city,Colombia,Antioquia,Toledo,Toledo,7.307025,-72.48044399999999
Colombia-Antioquia-Turbo,city,Colombia,Antioquia,Turbo,Turbo,8.0951588,-76.7284559
Colombia-Antioquia-Uramita,city,Colombia,Antioquia,Uramita,Uramita,6.896805,-76.17166499999999
Colombia-Antioquia-Urrao,city,Colombia,Antioquia,Urrao,Urrao,6.313860999999999,-76.13181
Colombia-Antioquia-Valdivia,city,Colombia,Antioquia,Valdivia,Valdivia,7.29117,-75.39215
Colombia-Antioquia-Valparaiso,city,Colombia,Antioquia,Valparaiso,Valparaiso,5.615156,-75.62527399999999
Colombia-Antioquia-Vegachi,city,Colombia,Antioquia,Vegachi,Vegachi,6.772879,-74.796476
Colombia-Antioquia-Venecia,city,Colombia,Antioquia,Venecia,Venecia,5.963962,-75.735417
Colombia-Antioquia-Vigia_Del_Fuerte,city,Colombia,Antioquia,Vigia Del Fuerte,Vigia Del Fuerte,6.5885816,-76.89623580000001
Colombia-Antioquia-Yali,city,Colombia,Antioquia,Yali,Yali,6.675199999999999,-74.84211
Colombia-Antioquia-Yarumal,city,Colombia,Antioquia,Yarumal,Yarumal,6.961969,-75.4190689
Colombia-Antioquia-Yolombo,city,Colombia,Antioquia,Yolombo,Yolombo,6.59995,-75.01478
Colombia-Antioquia-Yondo,city,Colombia,Antioquia,Yondo,Yondo,7.0081406,-73.91006229999999
Colombia-Antioquia-Zaragoza,city,Colombia,Antioquia,Zaragoza,Zaragoza,7.486879999999999,-74.8672519
Colombia-Barranquilla-Barranquilla,city,Colombia,Barranquilla,Barranquilla,Barranquilla,11.0041072,-74.80698129999999
Colombia-Atlantico-Baranoa,city,Colombia,Atlantico,Baranoa,Baranoa,10.796589,-74.915036
Colombia-Atlantico-Campo_De_La_Cruz,city,Colombia,Atlantico,Campo De La Cruz,Campo De La Cruz,10.379923,-74.881979
Colombia-Atlantico-Candelaria,city,Colombia,Atlantico,Candelaria,Candelaria,4.597014,-74.0728759
Colombia-Atlantico-Galapa,city,Colombia,Atlantico,Galapa,Galapa,10.898923,-74.88382299999999
Colombia-Atlantico-Juan_De_Acosta,city,Colombia,Atlantico,Juan De Acosta,Juan De Acosta,10.829092,-75.03585799999999
