location,density_per_km
Colombia-Antioquia-San_Andres_De_Cuerquia,46.73814392089844
Colombia-Antioquia-San_Carlos,30.70911407470703
Colombia-Antioquia-San_Francisco,97.35760498046875
Colombia-Antioquia-San_Jeronimo,98.97640991210938
Colombia-Antioquia-San_Jose_De_La_Montana,34.23534393310547
Colombia-Antioquia-San_Juan_De_Uraba,115.20352172851562
Colombia-Antioquia-San_Luis,29.677377700805664
Colombia-Antioquia-San_Pedro,111.39256286621094
Colombia-Antioquia-San_Pedro_De_Uraba,68.20747375488281
Colombia-Antioquia-San_Rafael,52.75005340576172
Colombia-Antioquia-San_Roque,59.50830078125
Colombia-Antioquia-San_Vicente,124.06637573242188
Colombia-Antioquia-Santa_Barbara,156.28073120117188
Colombia-Antioquia-Santa_Rosa_De_Osos,51.25154113769531
Colombia-Antioquia-Santo_Domingo,60.77382278442383
Colombia-Antioquia-El_Santuario,472.5284729003906
Colombia-Antioquia-Segovia,29.871097564697266
Colombia-Antioquia-Sonson,40.08177185058594
Colombia-Antioquia-Sopetran,86.94114685058594
Colombia-Antioquia-Tamesis,89.3975830078125
Colombia-Antioquia-Taraza,26.55829620361328
Colombia-Antioquia-Tarso,82.61698913574219
Colombia-Antioquia-Titiribi,131.30001831054688
Colombia-Antioquia-Toledo,12.223987579345703
Colombia-Antioquia-Turbo,56.252159118652344
Colombia-Antioquia-Uramita,43.324092864990234
Colombia-Antioquia-Urrao,21.160655975341797
Colombia-Antioquia-Valdivia,42.41305923461914
Colombia-Antioquia-Valparaiso,69.23680877685547
Colombia-Antioquia-Vegachi,27.968313217163086
Colombia-Antioquia-Venecia,131.57275390625
Colombia-Antioquia-Vigia_Del_Fuerte,4.052924633026123
Colombia-Antioquia-Yali,24.220314025878906
Colombia-Antioquia-Yarumal,78.73828125
Colombia-Antioquia-Yolombo,28.049304962158203
Colombia-Antioquia-Yondo,11.658662796020508
Colombia-Antioquia-Zaragoza,32.113407135009766
Colombia-Barranquilla-Barranquilla,9729.59375
Colombia-Atlantico-Baranoa,576.044921875
Colombia-Atlantico-Campo_De_La_Cruz,159.59335327148438
Colombia-Atlantico-Candelaria,6356.5986328125
Colombia-Atlantico-Galapa,725.1578369140625
Colombia-Atlantico-Juan_De_Acosta,124.66590881347656
Colombia-Atlantico-Luruaco,140.754150390625
Colombia-Atlantico-Malambo,1617.722412109375
Colombia-Atlantico-Manati,91.44105529785156
Colombia-Atlantico-Palmar_De_Varela,393.6209716796875
Colombia-Atlantico-Piojo,15.187854766845703
Colombia-Atlantico-Polonuevo,252.48667907714844
Colombia-Atlantico-Ponedera,253.84890747070312
Colombia-Atlantico-Puerto_Colombia,462.7320556640625
Colombia-Atlantico-Repelon,116.710693359375
Colombia-Atlantico-Sabanagrande,1118.43017578125
Colombia-Atlantico-Sabanalarga,43.34637451171875
Colombia-Atlantico-Santa_Lucia,174.03887939453125
Colombia-Atlantico-Santo_Tomas,402.8623352050781
Colombia-Atlantico-Soledad,16292.470703125
Colombia-Atlantico-Suan,205.66729736328125
Colombia-Atlantico-Tubara,73.66865539550781
Colombia-Atlantico-Usiacuri,102.54893493652344
Colombia-Cartagena-Cartagena,2154.119873046875
Colombia-Bolivar-Achi,44.79246520996094
Colombia-Bolivar-Altos_Del_Rosario,65.42057800292969
Colombia-Bolivar-Arenal,57.62712860107422
Colombia-Bolivar-Arjona,174.30429077148438
Colombia-Bolivar-Arroyohondo,75.13993835449219
Colombia-Bolivar-Barranco_De_Loba,72.04428100585938
Colombia-Bolivar-Calamar,103.30137634277344
Colombia-Bolivar-Cantagallo,17.007299423217773
Colombia-Bolivar-Cicuco,149.92495727539062
Colombia-Bolivar-Cordoba,73.65008544921875
Colombia-Bolivar-Clemencia,184.33612060546875
Colombia-Bolivar-El_Carmen_De_Bolivar,80.45402526855469
Colombia-Bolivar-El_Guamo,75.12352752685547
Colombia-Bolivar-El_Penon,141.2722625732422
Colombia-Bolivar-Hatillo_De_Loba,81.2439956665039
Colombia-Bolivar-Magangue,172.19482421875
Colombia-Bolivar-Mahates,82.85823822021484
Colombia-Bolivar-Margarita,104.08787536621094
Colombia-Bolivar-Maria_La_Baja,125.76260375976562
Colombia-Bolivar-Montecristo,16.49569320678711
Colombia-Bolivar-Mompos,77.58861541748047
Colombia-Bolivar-Norosi,20.501041412353516
Colombia-Bolivar-Morales,61.24256134033203
Colombia-Bolivar-Pinillos,769.66943359375
Colombia-Bolivar-Regidor,40.18206024169922
Colombia-Bolivar-Rio_Viejo,20.501041412353516
