country,2015,2016,2017
Argentina,883.9,878.8,920.2
Brazil,3224.4,3152.3,3240.3
Colombia,666.9,689.2,714.0
Dominican Republic,149.9,161.9,172.4
Ecuador,184.8,184.2,192.6
El Salvador,52.7,54.7,57.0
Guatemala,126.2,131.7,137.8
Haiti,18.8,19.4,19.9
Mexico,2270.7,2366.7,2458.4
Nicaragua,32.1,34.1,36.4
Panama,91.1,96.9,103.9
United States,18120.7,18624.5,19390.6
