location,country
Colombia-Antioquia-Segovia,Colombia
Colombia-Antioquia-Sonson,Colombia
Colombia-Antioquia-Sopetran,Colombia
Colombia-Antioquia-Tamesis,Colombia
Colombia-Antioquia-Taraza,Colombia
Colombia-Antioquia-Tarso,Colombia
Colombia-Antioquia-Titiribi,Colombia
Colombia-Antioquia-Toledo,Colombia
Colombia-Antioquia-Turbo,Colombia
Colombia-Antioquia-Uramita,Colombia
Colombia-Antioquia-Urrao,Colombia
Colombia-Antioquia-Valdivia,Colombia
Colombia-Antioquia-Valparaiso,Colombia
Colombia-Antioquia-Vegachi,Colombia
Colombia-Antioquia-Venecia,Colombia
Colombia-Antioquia-Vigia_Del_Fuerte,Colombia
Colombia-Antioquia-Yali,Colombia
Colombia-Antioquia-Yarumal,Colombia
Colombia-Antioquia-Yolombo,Colombia
Colombia-Antioquia-Yondo,Colombia
Colombia-Antioquia-Zaragoza,Colombia
Colombia-Barranquilla-Barranquilla,Colombia
Colombia-Atlantico-Baranoa,Colombia
Colombia-Atlantico-Campo_De_La_Cruz,Colombia
Colombia-Atlantico-Candelaria,Colombia
Colombia-Atlantico-Galapa,Colombia
Colombia-Atlantico-Juan_De_Acosta,Colombia
Colombia-Atlantico-Luruaco,Colombia
Colombia-Atlantico-Malambo,Colombia
Colombia-Atlantico-Manati,Colombia
Colombia-Atlantico-Palmar_De_Varela,Colombia
Colombia-Atlantico-Piojo,Colombia
Colombia-Atlantico-Polonuevo,Colombia
Colombia-Atlantico-Ponedera,Colombia
Colombia-Atlantico-Puerto_Colombia,Colombia
Colombia-Atlantico-Repelon,Colombia
Colombia-Atlantico-Sabanagrande,Colombia
Colombia-Atlantico-Sabanalarga,Colombia
Colombia-Atlantico-Santa_Lucia,Colombia
Colombia-Atlantico-Santo_Tomas,Colombia
Colombia-Atlantico-Soledad,Colombia
Colombia-Atlantico-Suan,Colombia
Colombia-Atlantico-Tubara,Colombia
Colombia-Atlantico-Usiacuri,Colombia
Colombia-Cartagena-Cartagena,Colombia
Colombia-Bolivar-Achi,Colombia
Colombia-Bolivar-Altos_Del_Rosario,Colombia
Colombia-Bolivar-Arenal,Colombia
Colombia-Bolivar-Arjona,Colombia
Colombia-Bolivar-Arroyohondo,Colombia
Colombia-Bolivar-Barranco_De_Loba,Colombia
Colombia-Bolivar-Calamar,Colombia
Colombia-Bolivar-Cantagallo,Colombia
Colombia-Bolivar-Cicuco,Colombia
Colombia-Bolivar-Cordoba,Colombia
Colombia-Bolivar-Clemencia,Colombia
Colombia-Bolivar-El_Carmen_De_Bolivar,Colombia
Colombia-Bolivar-El_Guamo,Colombia
Colombia-Bolivar-El_Penon,Colombia
Colombia-Bolivar-Hatillo_De_Loba,Colombia
Colombia-Bolivar-Magangue,Colombia
Colombia-Bolivar-Mahates,Colombia
Colombia-Bolivar-Margarita,Colombia
Colombia-Bolivar-Maria_La_Baja,Colombia
Colombia-Bolivar-Montecristo,Colombia
Colombia-Bolivar-Mompos,Colombia
Colombia-Bolivar-Norosi,Colombia
Colombia-Bolivar-Morales,Colombia
Colombia-Bolivar-Pinillos,Colombia
Colombia-Bolivar-Regidor,Colombia
Colombia-Bolivar-Rio_Viejo,Colombia
Colombia-Bolivar-San_Cristobal,Colombia
Colombia-Bolivar-San_Estanislao,Colombia
Colombia-Bolivar-San_Fernando,Colombia
Colombia-Bolivar-San_Jacinto,Colombia
Colombia-Bolivar-San_Jacinto_Del_Cauca,Colombia
Colombia-Bolivar-San_Juan_Nepomuceno,Colombia
Colombia-Bolivar-San_Martin_De_Loba,Colombia
Colombia-Bolivar-San_Pablo,Colombia
Colombia-Bolivar-Santa_Catalina,Colombia
Colombia-Bolivar-Santa_Rosa,Colombia
Colombia-Bolivar-Santa_Rosa_Del_Sur,Colombia
Colombia-Bolivar-Simiti,Colombia
Colombia-Bolivar-Soplaviento,Colombia
Colombia-Bolivar-Talaigua_Nuevo,Colombia
Colombia-Bolivar-Tiquisio,Colombia
Colombia-Bolivar-Turbaco,Colombia
Colombia-Bolivar-Turbana,Colombia
Colombia-Bolivar-Villanueva,Colombia
Colombia-Bolivar-Zambrano,Colombia
Colombia-Boyaca-Tunja,Colombia
Colombia-Boyaca-Almeida,Colombia
Colombia-Boyaca-Aquitania,Colombia
Colombia-Boyaca-Arcabuco,Colombia
Colombia-Boyaca-Belen,Colombia
Colombia-Boyaca-Berbeo,Colombia
Colombia-Boyaca-Beteitiva,Colombia
Colombia-Boyaca-Boavita,Colombia
Colombia-Boyaca-Boyaca,Colombia
Colombia-Boyaca-Briceno,Colombia
Colombia-Boyaca-Buenavista,Colombia
Colombia-Boyaca-Busbanza,Colombia
Colombia-Boyaca-Caldas,Colombia
Colombia-Boyaca-Campohermoso,Colombia
Colombia-Boyaca-Cerinza,Colombia
Colombia-Boyaca-Chinavita,Colombia
Colombia-Boyaca-Chiquinquira,Colombia
Colombia-Boyaca-Chiscas,Colombia
Colombia-Boyaca-Chita,Colombia
Colombia-Boyaca-Chitaraque,Colombia
Colombia-Boyaca-Chivata,Colombia
Colombia-Boyaca-Cienega,Colombia
Colombia-Boyaca-Combita,Colombia
Colombia-Boyaca-Coper,Colombia
Colombia-Boyaca-Corrales,Colombia
Colombia-Boyaca-Covarachia,Colombia
Colombia-Boyaca-Cubara,Colombia
Colombia-Boyaca-Cucaita,Colombia
Colombia-Boyaca-Cuitiva,Colombia
Colombia-Boyaca-Chiquiza,Colombia
Colombia-Boyaca-Chivor,Colombia
Colombia-Boyaca-Duitama,Colombia
Colombia-Boyaca-El_Cocuy,Colombia
Colombia-Boyaca-El_Espino,Colombia
Colombia-Boyaca-Firavitoba,Colombia
Colombia-Boyaca-Floresta,Colombia
Colombia-Boyaca-Gachantiva,Colombia
Colombia-Boyaca-Gameza,Colombia
Colombia-Boyaca-Garagoa,Colombia
Colombia-Boyaca-Guacamayas,Colombia
Colombia-Boyaca-Guateque,Colombia
Colombia-Boyaca-Guayata,Colombia
Colombia-Boyaca-Guican,Colombia
Colombia-Boyaca-Iza,Colombia
Colombia-Boyaca-Jenesano,Colombia
Colombia-Boyaca-Jerico,Colombia
Colombia-Boyaca-Labranzagrande,Colombia
Colombia-Boyaca-La_Capilla,Colombia
Colombia-Boyaca-La_Victoria,Colombia
Colombia-Boyaca-La_Uvita,Colombia
Colombia-Boyaca-Villa_De_Leyva,Colombia
Colombia-Boyaca-Macanal,Colombia
Colombia-Boyaca-Maripi,Colombia
Colombia-Boyaca-Miraflores,Colombia
Colombia-Boyaca-Mongua,Colombia
Colombia-Boyaca-Mongui,Colombia
Colombia-Boyaca-Moniquira,Colombia
Colombia-Boyaca-Motavita,Colombia
Colombia-Boyaca-Muzo,Colombia
Colombia-Boyaca-Nobsa,Colombia
Colombia-Boyaca-Nuevo_Colon,Colombia
Colombia-Boyaca-Oicata,Colombia
Colombia-Boyaca-Otanche,Colombia
Colombia-Boyaca-Pachavita,Colombia
Colombia-Boyaca-Paez,Colombia
Colombia-Boyaca-Paipa,Colombia
Colombia-Boyaca-Pajarito,Colombia
Colombia-Boyaca-Panqueba,Colombia
Colombia-Boyaca-Pauna,Colombia
Colombia-Boyaca-Paya,Colombia
Colombia-Boyaca-Paz_De_Rio,Colombia
Colombia-Boyaca-Pesca,Colombia
Colombia-Boyaca-Pisba,Colombia
Colombia-Boyaca-Puerto_Boyaca,Colombia
Colombia-Boyaca-Quipama,Colombia
Colombia-Boyaca-Ramiriqui,Colombia
Colombia-Boyaca-Raquira,Colombia
Colombia-Boyaca-Rondon,Colombia
Colombia-Boyaca-Saboya,Colombia
Colombia-Boyaca-Sachica,Colombia
Colombia-Boyaca-Samaca,Colombia
Colombia-Boyaca-San_Eduardo,Colombia
Colombia-Boyaca-San_Jose_De_Pare,Colombia
Colombia-Boyaca-San_Luis_De_Gaceno,Colombia
Colombia-Boyaca-San_Mateo,Colombia
Colombia-Boyaca-San_Miguel_De_Sema,Colombia
Colombia-Boyaca-San_Pablo_De_Borbur,Colombia
Colombia-Boyaca-Santana,Colombia
Colombia-Boyaca-Santa_Maria,Colombia
Colombia-Boyaca-Santa_Rosa_De_Viterbo,Colombia
Colombia-Boyaca-Santa_Sofia,Colombia
Colombia-Boyaca-Sativanorte,Colombia
Colombia-Boyaca-Sativasur,Colombia
Colombia-Boyaca-Siachoque,Colombia
