location,mosquito_dist
Colombia-Antioquia-Remedios,0.2620932019810056
Colombia-Antioquia-Retiro,0.029840498749000438
Colombia-Antioquia-Rionegro,0.043641333793997886
Colombia-Antioquia-Sabanalarga,0.32624694192292547
Colombia-Antioquia-Sabaneta,0.007014164880999739
Colombia-Antioquia-Salgar,0.20630562825999882
Colombia-Antioquia-San_Andres_De_Cuerquia,0.24744984362498346
Colombia-Antioquia-San_Carlos,0.2189154179699896
Colombia-Antioquia-San_Francisco,0.14362736049999875
Colombia-Antioquia-San_Jeronimo,0.03878636444999619
Colombia-Antioquia-San_Jose_De_La_Montana,0.2545183659769882
Colombia-Antioquia-San_Juan_De_Uraba,0.4801619351780141
Colombia-Antioquia-San_Luis,0.14881437715699292
Colombia-Antioquia-San_Pedro,0.3818402441999998
Colombia-Antioquia-San_Pedro_De_Uraba,0.15361053409000466
Colombia-Antioquia-San_Rafael,0.284568564865004
Colombia-Antioquia-San_Roque,0.17330660269000353
Colombia-Antioquia-San_Vicente,0.05391262262500028
Colombia-Antioquia-Santa_Barbara,0.11955656324199995
Colombia-Antioquia-Santa_Rosa_De_Osos,0.1048516212420016
Colombia-Antioquia-Santo_Domingo,0.1589877882850001
Colombia-Antioquia-El_Santuario,0.09978714240200233
Colombia-Antioquia-Segovia,0.27520345584100664
Colombia-Antioquia-Sonson,0.3257670488079958
Colombia-Antioquia-Sopetran,0.059728059559998437
Colombia-Antioquia-Tamesis,0.3289644894020033
Colombia-Antioquia-Taraza,0.5570264436369924
Colombia-Antioquia-Tarso,0.1897855300340085
Colombia-Antioquia-Titiribi,0.06904173619999633
Colombia-Antioquia-Toledo,0.37737406776099897
Colombia-Antioquia-Turbo,2.582146225000741e-05
Colombia-Antioquia-Uramita,0.684165880249985
Colombia-Antioquia-Urrao,0.2648504834209969
Colombia-Antioquia-Valdivia,0.2223917913999975
Colombia-Antioquia-Valparaiso,0.3688914794119996
Colombia-Antioquia-Vegachi,0.15652314721700655
Colombia-Antioquia-Venecia,0.09291824133300132
Colombia-Antioquia-Vigia_Del_Fuerte,0.8680809610602039
Colombia-Antioquia-Yali,0.15211669210000134
Colombia-Antioquia-Yarumal,0.0656122359082063
Colombia-Antioquia-Yolombo,0.10022465090000185
Colombia-Antioquia-Yondo,0.3217048792496444
Colombia-Antioquia-Zaragoza,0.47835230845361365
Colombia-Barranquilla-Barranquilla,0.0016931616415303509
Colombia-Atlantico-Baranoa,3.627621700000956e-05
Colombia-Atlantico-Campo_De_La_Cruz,0.05453206237000004
Colombia-Atlantico-Candelaria,0.15879562699680938
Colombia-Atlantico-Galapa,9.423525799996561e-05
Colombia-Atlantico-Juan_De_Acosta,3.5140627999875625e-05
Colombia-Atlantico-Luruaco,0.06118893846899857
Colombia-Atlantico-Malambo,8.575902532001134e-05
Colombia-Atlantico-Manati,0.051987614761995926
Colombia-Atlantico-Palmar_De_Varela,0.003569747584000274
Colombia-Atlantico-Piojo,0.012678926740000167
Colombia-Atlantico-Polonuevo,0.002345194084999968
Colombia-Atlantico-Ponedera,0.003394244944999966
Colombia-Atlantico-Puerto_Colombia,0.005367967137000623
Colombia-Atlantico-Repelon,0.12116533107999976
Colombia-Atlantico-Sabanagrande,0.00012766284200006777
Colombia-Atlantico-Sabanalarga,0.32624694192292547
Colombia-Atlantico-Santa_Lucia,0.10371824870599909
Colombia-Atlantico-Santo_Tomas,0.0013601747970000931
Colombia-Atlantico-Soledad,9.099380295985142e-05
Colombia-Atlantico-Suan,0.07632771090499962
Colombia-Atlantico-Tubara,0.004600189960001028
Colombia-Atlantico-Usiacuri,0.00665720735300007
Colombia-Cartagena-Cartagena,8.045917274001651e-05
Colombia-Bolivar-Achi,2.478484660394206
Colombia-Bolivar-Altos_Del_Rosario,2.3810835427950257
Colombia-Bolivar-Arenal,1.316260353799995
Colombia-Bolivar-Arjona,0.0312309527049992
Colombia-Bolivar-Arroyohondo,0.16811514368199892
Colombia-Bolivar-Barranco_De_Loba,2.773355654799988
Colombia-Bolivar-Calamar,0.13418881023699802
Colombia-Bolivar-Cantagallo,0.17600355354099156
Colombia-Bolivar-Cicuco,1.7425804148000033
Colombia-Bolivar-Cordoba,1.3387916023490096
Colombia-Bolivar-Clemencia,0.05234402737681153
Colombia-Bolivar-El_Carmen_De_Bolivar,0.4871199793850024
Colombia-Bolivar-El_Guamo,0.10045753962499934
Colombia-Bolivar-El_Penon,0.15341607820999859
Colombia-Bolivar-Hatillo_De_Loba,2.7546604535586074
Colombia-Bolivar-Magangue,1.6881884563490408
Colombia-Bolivar-Mahates,0.11055858451300699
Colombia-Bolivar-Margarita,2.3484445448888915
Colombia-Bolivar-Maria_La_Baja,0.14080244394599728
Colombia-Bolivar-Montecristo,1.7609181672999887
Colombia-Bolivar-Mompos,1.948488915332009
Colombia-Bolivar-Norosi,1.5608332450530022
Colombia-Bolivar-Morales,0.4962271407400001
Colombia-Bolivar-Pinillos,2.869785758900006
Colombia-Bolivar-Regidor,1.7045615894899937
Colombia-Bolivar-Rio_Viejo,1.5280629361729905
Colombia-Bolivar-San_Cristobal,0.11888362672100095
Colombia-Bolivar-San_Estanislao,0.10742757800000789
Colombia-Bolivar-San_Fernando,2.088596284192011
Colombia-Bolivar-San_Jacinto,0.366761379665
Colombia-Bolivar-San_Jacinto_Del_Cauca,2.1135076344890726
Colombia-Bolivar-San_Juan_Nepomuceno,0.3050721131839995
Colombia-Bolivar-San_Martin_De_Loba,2.6635999025249975
Colombia-Bolivar-San_Pablo,0.1859339804329912
Colombia-Bolivar-Santa_Catalina,15.714404418516875
Colombia-Bolivar-Santa_Rosa,0.12170560674100102
Colombia-Bolivar-Santa_Rosa_Del_Sur,0.6216704617793007
Colombia-Bolivar-Simiti,0.5096937680170002
Colombia-Bolivar-Soplaviento,0.11842659666261293
Colombia-Bolivar-Talaigua_Nuevo,1.7001178867449973
Colombia-Bolivar-Tiquisio,1.9233232144999979
Colombia-Bolivar-Turbaco,0.008805250628000503
Colombia-Bolivar-Turbana,0.006380276885000118
Colombia-Bolivar-Villanueva,0.09936277393699919
Colombia-Bolivar-Zambrano,0.716089378916002
Colombia-Boyaca-Tunja,1.7314632492926785
Colombia-Boyaca-Almeida,0.7363939844000014
Colombia-Boyaca-Aquitania,2.04841173905721
Colombia-Boyaca-Arcabuco,1.429637058568002
Colombia-Boyaca-Belen,0.00045130353983974627
Colombia-Boyaca-Berbeo,1.3206854497569993
Colombia-Boyaca-Beteitiva,1.5358604172130021
Colombia-Boyaca-Boavita,0.8939497961650105
Colombia-Boyaca-Boyaca,1.710876501130001
Colombia-Boyaca-Briceno,0.5610944950250203
Colombia-Boyaca-Buenavista,0.030235684073000202
Colombia-Boyaca-Busbanza,1.6928810456770023
Colombia-Boyaca-Caldas,0.3570004880172017
Colombia-Boyaca-Campohermoso,0.9062696274650033
Colombia-Boyaca-Cerinza,1.3595662867108116
Colombia-Boyaca-Chinavita,1.1017471711249984
Colombia-Boyaca-Chiquinquira,0.7503802846660091
Colombia-Boyaca-Chiscas,0.6945434981414182
Colombia-Boyaca-Chita,1.272398362922008
Colombia-Boyaca-Chitaraque,1.053738448130006
Colombia-Boyaca-Chivata,1.936610073624997
Colombia-Boyaca-Cienega,0.25881633773200274
Colombia-Boyaca-Combita,1.8158317639730224
Colombia-Boyaca-Coper,0.39129181307699074
Colombia-Boyaca-Corrales,1.7174515713010094
Colombia-Boyaca-Covarachia,0.5166299647610039
Colombia-Boyaca-Cubara,0.9532284989959959
Colombia-Boyaca-Cucaita,1.4853131085800058
Colombia-Boyaca-Cuitiva,2.2217088560050007
Colombia-Boyaca-Chiquiza,1.4272176447400338
Colombia-Boyaca-Chivor,0.6140128253570012
Colombia-Boyaca-Duitama,1.6539398394893026
Colombia-Boyaca-El_Cocuy,0.9465716672910173
Colombia-Boyaca-El_Espino,0.8610383396000195
Colombia-Boyaca-Firavitoba,2.0926241612260026
Colombia-Boyaca-Floresta,1.6045114175450046
Colombia-Boyaca-Gachantiva,1.225256778356014
Colombia-Boyaca-Gameza,1.8077761918890045
Colombia-Boyaca-Garagoa,0.9396692193250011
Colombia-Boyaca-Guacamayas,0.8076132503300163
Colombia-Boyaca-Guateque,0.7585419331539972
