82.0,84.0,85.0,74.0,75.0,75.0,66.0,66.0,66.0,68.0,66.0,65.0,0.04,0.01,0.0,4.0,5.0,5.0,112.53276062011719,0.44630041370001006,5.95720617370004,0.37214475370001104,291.5,666.9,-1.0
31.0,29.0,28.0,25.0,25.0,23.0,20.0,20.0,19.0,18.0,21.0,21.0,0.0,15.24,11.18,11.0,9.0,7.0,69.72933959960938,0.04574248892200032,0.9013865569219736,0.1909676269219939,291.5,666.9,1.0
23.0,21.0,22.0,15.0,16.0,16.0,8.0,11.0,9.0,8.0,11.0,11.0,4.06,6.1,37.33,10.0,9.0,9.0,61.96161651611328,0.07738977361921066,0.07738977361921066,0.21552525521920748,291.5,666.9,1.0
92.0,32.0,33.0,83.0,28.0,28.0,74.0,23.0,23.0,65.0,18.0,19.0,0.04,0.51,0.25,6.0,10.0,7.0,11.319406509399414,0.48685025089999456,3.7231894708999533,0.7112546909000096,291.5,666.9,1.0
19.0,20.0,26.0,14.0,14.0,19.0,8.0,8.0,12.0,9.0,8.0,13.0,2.03,6.1,0.0,8.0,7.0,4.0,64.00892639160156,0.009379582272000926,107.74536860787197,8.72510720000595e-05,642.5,883.9,1.0
91.0,33.0,33.0,85.0,29.0,30.0,79.0,26.0,27.0,78.0,26.0,26.0,0.95,28.96,0.0,6.0,10.0,10.0,174.30429077148438,0.06337508070500245,17.68268364270498,0.0312309527049992,291.5,666.9,1.0
22.0,21.0,28.0,16.0,15.0,24.0,10.0,11.0,19.0,13.0,11.0,21.0,0.0,5.58,73.92,5.0,10.0,11.0,121.33164978027344,0.0015895653928104342,54.94350828139282,3.194624276192823,642.5,883.9,1.0
72.0,70.0,72.0,59.0,55.0,60.0,47.0,41.0,47.0,41.0,31.0,37.0,0.86,0.0,0.08,4.0,8.0,6.0,4778.333984375,0.01573749529864865,3.916201384298659,14.97622372749863,1169.6,2270.7,-1.0
31.0,29.0,33.0,24.0,22.0,25.0,17.0,17.0,20.0,17.0,17.0,19.0,0.0,18.03,3.05,6.0,5.0,4.0,17.69784164428711,0.004644499206848497,98.48239166320678,3.7495783072068445,642.5,883.9,1.0
33.0,91.0,92.0,28.0,82.0,84.0,22.0,74.0,76.0,21.0,69.0,69.0,6.61,0.14,0.12,6.0,5.0,5.0,45.694358825683594,0.15931326596981088,6.189472938569793,0.9490102951698084,291.5,666.9,1.0
85.0,85.0,83.0,74.0,74.0,74.0,62.0,63.0,63.0,61.0,62.0,56.0,0.06,2.28,2.97,6.0,6.0,8.0,1966.2645263671875,0.012275216569998599,0.012275216569998599,0.007559410570000683,18120.7,18120.7,1.0
21.0,21.0,20.0,17.0,17.0,17.0,14.0,14.0,15.0,14.0,14.0,14.0,0.0,0.0,0.0,8.0,7.0,7.0,143.80563354492188,0.14557979216499578,2.9649185961649716,0.5129556021650002,291.5,666.9,1.0
85.3,85.65,60.65,77.85,78.75,54.55,70.95,71.4,48.349999999999994,71.95,70.95,48.0,1.6205000000000003,1.6515,9.031500000000001,4.8,5.1499999999999995,7.4,23.62702178955078,0.5452629946250019,5.7173651826249845,0.012743028625001627,291.5,666.9,1.0
82.2,82.6,36.4,74.6,75.0,31.6,66.8,66.2,26.8,64.8,65.2,25.6,0.05,0.18000000000000002,0.16,6.6,5.8,7.6,42.62583923339844,0.6025939150250039,23.587246725025025,0.34080761502500306,291.5,666.9,1.0
